Country,Week,Currency code,Budget,Budget type,Campaign type,Impr.,Interactions,Cost,Engagements,Purchase,Conversion goals,Bid strategy type,Clicks,Revenue
Dominican_Republic,2/26/2024,USD,39,Daily,Performance Max,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,3/11/2024,USD,39,Daily,Performance Max,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,1/29/2024,USD,39,Daily,Performance Max,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,4/8/2024,USD,39,Daily,Performance Max,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,4/15/2024,USD,39,Daily,Performance Max,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,3/25/2024,USD,39,Daily,Performance Max,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,3/4/2024,USD,39,Daily,Performance Max,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,2/19/2024,USD,39,Daily,Performance Max,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,3/18/2024,USD,39,Daily,Performance Max,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,4/1/2024,USD,39,Daily,Performance Max,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,2/5/2024,USD,39,Daily,Performance Max,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,2/12/2024,USD,39,Daily,Performance Max,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,4/29/2024,USD,39,Daily,Performance Max,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,4/22/2024,USD,39,Daily,Performance Max,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,2/26/2024,USD,27.34,Daily,Search,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,4/1/2024,USD,27.34,Daily,Search,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,3/18/2024,USD,27.34,Daily,Search,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,4/8/2024,USD,27.34,Daily,Search,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,4/29/2024,USD,27.34,Daily,Search,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,4/22/2024,USD,27.34,Daily,Search,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,3/25/2024,USD,27.34,Daily,Search,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,2/5/2024,USD,27.34,Daily,Search,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,1/29/2024,USD,27.34,Daily,Search,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,3/11/2024,USD,27.34,Daily,Search,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,3/4/2024,USD,27.34,Daily,Search,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,4/15/2024,USD,27.34,Daily,Search,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,2/19/2024,USD,27.34,Daily,Search,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,2/12/2024,USD,27.34,Daily,Search,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize Conversions,0,0
Dominican_Republic,4/15/2024,USD,5.92,Daily,Search,181,46,119.26,0,4,"[BEGIN_CHECKOUT/WEBSITE, DOWNLOAD/APP, PAGE_VIEW/WEBSITE, PURCHASE/WEBSITE]",Maximize clicks,46,612
Dominican_Republic,3/11/2024,USD,10,Daily,Search,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize clicks,0,0
Dominican_Republic,2/12/2024,USD,10,Daily,Search,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize clicks,0,0
Dominican_Republic,4/1/2024,USD,10,Daily,Search,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize clicks,0,0
Dominican_Republic,3/25/2024,USD,10,Daily,Search,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize clicks,0,0
Dominican_Republic,4/8/2024,USD,5.92,Daily,Search,0,0,0,0,0,"[BEGIN_CHECKOUT/WEBSITE, DOWNLOAD/APP, PAGE_VIEW/WEBSITE, PURCHASE/WEBSITE]",Maximize clicks,0,0
Dominican_Republic,3/11/2024,USD,5.92,Daily,Search,0,0,0,0,0,"[BEGIN_CHECKOUT/WEBSITE, DOWNLOAD/APP, PAGE_VIEW/WEBSITE, PURCHASE/WEBSITE]",Maximize clicks,0,0
Dominican_Republic,4/22/2024,USD,5.92,Daily,Search,156,19,64.97,0,1,"[BEGIN_CHECKOUT/WEBSITE, DOWNLOAD/APP, PAGE_VIEW/WEBSITE, PURCHASE/WEBSITE]",Maximize clicks,19,153
Dominican_Republic,4/29/2024,USD,10,Daily,Search,0,0,0,0,0,[PURCHASE/WEBSITE],Maximize clicks,0,0
Dominican_Republic,2/26/2024,USD,5.92,Daily,Search,0,0,0,0,0,"[BEGIN_CHECKOUT/WEBSITE, DOWNLOAD/APP, PAGE_VIEW/WEBSITE, PURCHASE/WEBSITE]",Maximize clicks,0,0
